season,home_team,away_team,home_win
20252026,TOR,COL,0
20252026,MTL,COL,1
20252026,DET,COL,0
20252026,COL,DET,0
20252026,COL,SJS,1
20252026,UTA,COL,0
20252026,COL,MIN,0
20252026,COL,CHI,1
20252026,LAK,COL,0
20252026,ANA,COL,0
20252026,DAL,COL,0
20252026,COL,MIN,1
20252026,COL,EDM,0
20252026,SEA,COL,0
20252026,WPG,COL,1
20252026,COL,PIT,0
20252026,COL,DAL,0
20252026,CHI,COL,0
20252026,WSH,COL,0
20252026,PIT,COL,0
20252026,WPG,COL,0
20252026,COL,WPG,0
20252026,COL,VAN,0
20252026,DAL,COL,0
20252026,COL,STL,0
20252026,STL,COL,0
20252026,COL,VGK,0
20252026,EDM,COL,0
20252026,COL,SEA,1
20252026,COL,LAK,1
20252026,COL,LAK,1
20252026,LAK,COL,0
20252026,LAK,COL,0
20252026,COL,MIN,1
20252026,COL,MIN,1
20252026,MIN,COL,1
20252026,MIN,COL,0
20252026,COL,MIN,1
20252026,COL,VGK,0
20252026,COL,VGK,0
20252026,VGK,COL,1
20252026,VGK,COL,1
20252026,MTL,TOR,0
20252026,TOR,MTL,0
20252026,TOR,DET,0
20252026,DET,TOR,1
20252026,TOR,MTL,1
20252026,DET,TOR,1
20252026,TOR,DET,0
20252026,TOR,NSH,1
20252026,TOR,NYR,1
20252026,TOR,SEA,0
20252026,TOR,NJD,0
20252026,CBJ,TOR,1
20252026,PHI,TOR,0
20252026,TOR,PIT,1
20252026,TOR,UTA,1
20252026,TOR,BOS,0
20252026,TOR,CAR,0
20252026,BOS,TOR,1
20252026,TOR,LAK,0
20252026,CHI,TOR,1
20252026,TOR,STL,1
20252026,TOR,CBJ,0
20252026,MTL,TOR,1
20252026,CBJ,TOR,0
20252026,WSH,TOR,1
20252026,PIT,TOR,0
20252026,FLA,TOR,0
20252026,CAR,TOR,0
20252026,TOR,MTL,0
20252026,TOR,TBL,1
20252026,TOR,SJS,0
20252026,TOR,EDM,0
20252026,TOR,CHI,1
20252026,WSH,TOR,1
20252026,NSH,TOR,1
20252026,DAL,TOR,1
20252026,TOR,PIT,1
20252026,DET,TOR,1
20252026,TOR,NJD,1
20252026,TOR,WPG,1
20252026,NYI,TOR,1
20252026,TOR,FLA,1
20252026,PHI,TOR,0
20252026,TOR,VAN,1
20252026,UTA,TOR,1
20252026,VGK,TOR,1
20252026,WPG,TOR,0
20252026,TOR,MIN,0
20252026,TOR,DET,0
20252026,TOR,VGK,0
20252026,SEA,TOR,1
20252026,VAN,TOR,0
20252026,EDM,TOR,0
20252026,TBL,TOR,1
20252026,FLA,TOR,1
20252026,TOR,PHI,0
20252026,NJD,TOR,1
20252026,NYR,TOR,1
20252026,TOR,TBL,0
20252026,MTL,TOR,1
20252026,TOR,ANA,1
20252026,MIN,TOR,0
20252026,TOR,NYI,0
20252026,TOR,CAR,0
20252026,BOS,TOR,0
20252026,TOR,NYR,1
20252026,STL,TOR,1
20252026,ANA,TOR,0
20252026,SJS,TOR,1
20252026,LAK,TOR,1
20252026,TOR,WSH,0
20252026,NYI,TOR,1
20252026,TOR,FLA,0
20252026,TOR,DAL,0
20252026,NYI,PHI,0
20252026,MTL,PHI,1
20252026,WSH,PHI,1
20252026,PHI,BOS,0
20252026,BOS,PHI,0
20252026,PHI,NYI,0
20252026,PHI,NJD,1
20252026,FLA,PHI,1
20252026,CAR,PHI,1
20252026,PHI,FLA,1
20252026,PHI,WPG,0
20252026,PHI,MIN,1
20252026,PHI,SEA,1
20252026,PHI,NYI,1
20252026,PHI,PIT,1
20252026,PHI,NSH,1
20252026,MTL,PHI,0
20252026,NSH,PHI,0
20252026,PHI,EDM,0
20252026,STL,PHI,0
20252026,DAL,PHI,1
20252026,PHI,STL,1
20252026,PHI,NJD,1
20252026,TBL,PHI,1
20252026,FLA,PHI,0
20252026,NYI,PHI,0
20252026,NJD,PHI,0
20252026,PHI,PIT,0
20252026,PHI,SJS,1
20252026,PHI,VGK,0
20252026,PHI,CAR,0
20252026,CAR,PHI,1
20252026,MTL,PHI,0
20252026,NYR,PHI,1
20252026,PHI,VAN,1
20252026,CHI,PHI,0
20252026,SEA,PHI,1
20252026,VAN,PHI,0
20252026,EDM,PHI,0
20252026,PHI,ANA,1
20252026,PHI,TBL,0
20252026,PHI,TBL,0
20252026,PIT,PHI,1
20252026,PHI,NYR,0
20252026,VGK,PHI,0
20252026,UTA,PHI,1
20252026,PHI,NYI,0
20252026,CBJ,PHI,1
20252026,BOS,PHI,1
20252026,PHI,LAK,0
20252026,PHI,WSH,1
20252026,WSH,PHI,1
20252026,NYR,PHI,0
20252026,PHI,BOS,1
20252026,PHI,UTA,0
20252026,PIT,PHI,0
20252026,PHI,NYR,0
20252026,PHI,WSH,1
20252026,MIN,PHI,0
20252026,PHI,CBJ,0
20252026,ANA,PHI,0
20252026,LAK,PHI,0
20252026,SJS,PHI,0
20252026,PHI,CBJ,0
20252026,PHI,CHI,1
20252026,DET,PHI,0
20252026,PHI,DAL,1
20252026,WSH,PHI,1
20252026,PHI,DET,0
20252026,NYI,PHI,0
20252026,PHI,BOS,1
20252026,NJD,PHI,0
20252026,DET,PHI,1
20252026,WPG,PHI,0
20252026,PHI,CAR,1
20252026,PHI,MTL,1
20252026,PIT,PHI,0
20252026,PIT,PHI,0
20252026,PHI,PIT,1
20252026,PHI,PIT,0
20252026,PIT,PHI,1
20252026,PHI,PIT,1
20252026,CAR,PHI,1
20252026,CAR,PHI,1
20252026,PHI,CAR,0
20252026,PHI,CAR,0
20252026,WPG,EDM,0
